	0	1						",0,1"
62	75	"""{'lat'"	-71.10042	'avrg_waiting'	51.61941026	'lon'	"42.363562}"""	"62,75.0,""{'lat': -71.10042, 'avrg_waiting': 51.619410263421742, 'lon': 42.363562}"""
63	76	"""{'lat'"	-71.105495	'avrg_waiting'	73.24831845	'lon'	"42.366426000000004}"""	"63,76.0,""{'lat': -71.10549499999999, 'avrg_waiting': 73.248318452380957, 'lon': 42.366426000000004}"""
64	77	"""{'lat'"	-71.096413	'avrg_waiting'	56.23310606	'lon'	"42.386428}"""	"64,77.0,""{'lat': -71.096413, 'avrg_waiting': 56.233106060606055, 'lon': 42.386428}"""
65	78	"""{'lat'"	-71.095319	'avrg_waiting'	54.45147989	'lon'	"42.379637}"""	"65,78.0,""{'lat': -71.09531899999999, 'avrg_waiting': 54.45147989385589, 'lon': 42.379637}"""
66	79	"""{'lat'"	-71.106541	'avrg_waiting'	60.81568742	'lon'	"42.378551}"""	"66,79.0,""{'lat': -71.106541, 'avrg_waiting': 60.815687415163858, 'lon': 42.378551}"""
67	80	"""{'lat'"	-71.090188	'avrg_waiting'	184.7959763	'lon'	"42.362429}"""	"67,80.0,""{'lat': -71.090188, 'avrg_waiting': 184.79597629444791, 'lon': 42.362429}"""
68	81	"""{'lat'"	-71.062679	'avrg_waiting'	31.00884553	'lon'	"42.352409}"""	"68,81.0,""{'lat': -71.062679, 'avrg_waiting': 31.008845528455282, 'lon': 42.352409}"""
69	83	"""{'lat'"	-71.065928	'avrg_waiting'	34.2496114	'lon'	"42.325941}"""	"69,83.0,""{'lat': -71.065928, 'avrg_waiting': 34.249611398963722, 'lon': 42.325941}"""
70	84	"""{'lat'"	-71.076472	'avrg_waiting'	88.94681514	'lon'	"42.366981}"""	"70,84.0,""{'lat': -71.076472, 'avrg_waiting': 88.946815144766134, 'lon': 42.366981}"""
71	86	"""{'lat'"	-71.116205	'avrg_waiting'	29.13908371	'lon'	"42.332799}"""	"71,86.0,""{'lat': -71.11620500000001, 'avrg_waiting': 29.139083710407249, 'lon': 42.332799}"""
72	87	"""{'lat'"	-71.114214	'avrg_waiting'	63.07142424	'lon'	"42.366621}"""	"72,87.0,""{'lat': -71.114214, 'avrg_waiting': 63.071424242424257, 'lon': 42.366621}"""
73	88	"""{'lat'"	-71.101427	'avrg_waiting'	77.23707094	'lon'	"42.374035}"""	"73,88.0,""{'lat': -71.101427, 'avrg_waiting': 77.237070938215112, 'lon': 42.374035}"""
74	89	"""{'lat'"	-71.119945	'avrg_waiting'	42.70933842	'lon'	"42.379011}"""	"74,89.0,""{'lat': -71.119945, 'avrg_waiting': 42.709338422391859, 'lon': 42.379011}"""
75	90	"""{'lat'"	-71.07711	'avrg_waiting'	57.07910294	'lon'	"42.3707}"""	"75,90.0,""{'lat': -71.07711, 'avrg_waiting': 57.079102937606216, 'lon': 42.3707}"""
76	91	"""{'lat'"	-71.09169	'avrg_waiting'	97.83713966	'lon'	"42.366277000000004}"""	"76,91.0,""{'lat': -71.09169, 'avrg_waiting': 97.837139658550214, 'lon': 42.366277000000004}"""
77	92	"""{'lat'"	-71.035705	'avrg_waiting'	44.5538715	'lon'	"42.311819}"""	"77,92.0,""{'lat': -71.03570500000001, 'avrg_waiting': 44.553871499176282, 'lon': 42.311819}"""
78	93	"""{'lat'"	-71.051122	'avrg_waiting'	33.9988872	'lon'	"42.320494000000004}"""	"78,93.0,""{'lat': -71.05112199999999, 'avrg_waiting': 33.998887202832584, 'lon': 42.320494000000004}"""
79	94	"""{'lat'"	-71.064608	'avrg_waiting'	63.12140207	'lon'	"42.375603000000005}"""	"79,94.0,""{'lat': -71.06460799999999, 'avrg_waiting': 63.121402069908228, 'lon': 42.375603000000005}"""
80	95	"""{'lat'"	-71.094445	'avrg_waiting'	51.90694978	'lon'	"42.372969}"""	"80,95.0,""{'lat': -71.094445, 'avrg_waiting': 51.906949779485004, 'lon': 42.372969}"""
81	96	"""{'lat'"	-71.111075	'avrg_waiting'	35.10335079	'lon'	"42.373379}"""	"81,96.0,""{'lat': -71.111075, 'avrg_waiting': 35.103350785340304, 'lon': 42.373379}"""
82	98	"""{'lat'"	-71.060292	'avrg_waiting'	65.2991123	'lon'	"42.371848}"""	"82,98.0,""{'lat': -71.060292, 'avrg_waiting': 65.299112301712356, 'lon': 42.371848}"""
83	99	"""{'lat'"	-71.057629	'avrg_waiting'	67.26360627	'lon'	"42.35892}"""	"83,99.0,""{'lat': -71.057629, 'avrg_waiting': 67.26360626614985, 'lon': 42.35892}"""
84	100	"""{'lat'"	-71.084198	'avrg_waiting'	57.43285794	'lon'	"42.328654}"""	"84,100.0,""{'lat': -71.084198, 'avrg_waiting': 57.432857941834435, 'lon': 42.328654}"""
85	102	"""{'lat'"	-71.073089	'avrg_waiting'	32.01476733	'lon'	"42.336437}"""	"85,102.0,""{'lat': -71.073089, 'avrg_waiting': 32.014767331434001, 'lon': 42.336437}"""
86	103	"""{'lat'"	-71.082383	'avrg_waiting'	26.04909325	'lon'	"42.348762}"""	"86,103.0,""{'lat': -71.082383, 'avrg_waiting': 26.049093253473092, 'lon': 42.348762}"""
87	104	"""{'lat'"	-71.057044	'avrg_waiting'	34.75064467	'lon'	"42.330715999999995}"""	"87,104.0,""{'lat': -71.05704399999999, 'avrg_waiting': 34.750644671975721, 'lon': 42.330715999999995}"""
88	105	"""{'lat'"	-71.075354	'avrg_waiting'	43.23481288	'lon'	"42.325333}"""	"88,105.0,""{'lat': -71.075354, 'avrg_waiting': 43.234812880765894, 'lon': 42.325333}"""
89	106	"""{'lat'"	-71.045859	'avrg_waiting'	16.04479592	'lon'	"42.335693}"""	"89,106.0,""{'lat': -71.045859, 'avrg_waiting': 16.044795918367345, 'lon': 42.335693}"""
90	107	"""{'lat'"	-71.03877	'avrg_waiting'	16.38380282	'lon'	"42.335741}"""	"90,107.0,""{'lat': -71.03877, 'avrg_waiting': 16.383802816901412, 'lon': 42.335741}"""
91	110	"""{'lat'"	-71.145442	'avrg_waiting'	57.28321871	'lon'	"42.356975}"""	"91,110.0,""{'lat': -71.145442, 'avrg_waiting': 57.283218707015138, 'lon': 42.356975}"""
92	111	"""{'lat'"	-71.059914	'avrg_waiting'	269.2542275	'lon'	"42.366222}"""	"92,111.0,""{'lat': -71.059914, 'avrg_waiting': 269.25422749391726, 'lon': 42.366222}"""
93	112	"""{'lat'"	-71.058087	'avrg_waiting'	147.839842	'lon'	"42.355402000000005}"""	"93,112.0,""{'lat': -71.058087, 'avrg_waiting': 147.83984198645598, 'lon': 42.355402000000005}"""
94	113	"""{'lat'"	-71.070884	'avrg_waiting'	43.5130582	'lon'	"42.360690000000005}"""	"94,113.0,""{'lat': -71.07088399999999, 'avrg_waiting': 43.513058196485169, 'lon': 42.360690000000005}"""
95	114	"""{'lat'"	-71.060515	'avrg_waiting'	299.4828907	'lon'	"42.365942}"""	"95,114.0,""{'lat': -71.06051500000001, 'avrg_waiting': 299.48289070480081, 'lon': 42.365942}"""
96	115	"""{'lat'"	-71.048927	'avrg_waiting'	23.69819879	'lon'	"42.378338}"""	"96,115.0,""{'lat': -71.048927, 'avrg_waiting': 23.698198794294957, 'lon': 42.378338}"""
